Kernel, Architechture, Vendor, No of CPUs, Cycle(MHz), L1(KB), L2(KB), L3(KB), RAM(GB), Available Threads, Num Iterations, varDecl, refExpr, intLiteral, floatLiteral, add_int, add_float, sub_int, sub_float, mul_int, mul_float, div_int, div_float, rem_int, rem_float, shl_int, shl_float, shr_int, shr_float, assign_int, assign_float, mulAssign_int, mulAssign_float, divAssign_int, divAssign_float, remAssign_int, remAssign_float, addAssign_int, addAssign_float, subAssign_int, subAssign_float, shlAssign_int, shlAssign_float, shrAssign_int, shrAssign_float, postInc_int, postInc_float, postDec_int, postDec_float, preInc_int, preInc_float, preDec_int, preDec_float,Execution Time
kernel_1100_2100_801_330_626_71,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,22947058,23102,2100,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,0,2388827,0,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.410
kernel_1100_2100_801_330_626_72,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,13492594,14702,2100,0,1684999,0,0,0,0,0,0,0,0,0,0,0,0,4200,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689200,0,0,0,0,0,0,0,2.371
kernel_1100_2100_801_330_626_73,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,23608888,18902,2100,1684999,1684999,0,0,0,0,0,0,0,0,0,0,0,0,1691299,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,3.718
kernel_1100_2100_801_330_626_74,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17671462,18902,2100,0,1684999,0,0,695428,0,0,0,0,0,0,0,0,0,701728,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,2.998
kernel_1100_2100_801_330_626_75,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,27787756,23102,2100,1684999,1684999,0,0,695428,0,0,0,0,0,0,0,0,0,2388827,1684999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.477
kernel_1100_2100_801_330_626_76,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,18768190,18902,2100,0,1684999,0,0,0,0,0,0,0,0,0,0,0,0,6300,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,2.808
kernel_1100_2100_801_330_626_77,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,28884484,23102,2100,1684999,1684999,0,0,0,0,0,0,0,0,0,0,0,0,1693399,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.292
kernel_1100_2100_801_330_626_78,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,22947058,23102,2100,0,1684999,0,0,695428,0,0,0,0,0,0,0,0,0,703828,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,3.404
kernel_1100_2100_801_330_626_79,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,33063352,27302,2100,1684999,1684999,0,0,695428,0,0,0,0,0,0,0,0,0,2390927,1684999,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,5.085
kernel_1100_2100_801_330_626_80,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,7555168,14702,2100,0,0,0,0,0,695428,0,0,0,0,0,0,0,0,4200,695428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689200,0,0,0,0,0,0,0,2.554
kernel_1100_2100_801_330_626_81,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17671462,18902,2100,1684999,0,0,0,0,695428,0,0,0,0,0,0,0,0,1691299,695428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,3.692
kernel_1100_2100_801_330_626_82,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,11734036,18902,2100,0,0,0,0,695428,695428,0,0,0,0,0,0,0,0,701728,695428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,2.814
kernel_1100_2100_801_330_626_83,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,21850330,23102,2100,1684999,0,0,0,695428,695428,0,0,0,0,0,0,0,0,2388827,695428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.196
kernel_1100_2100_801_330_626_84,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,12830764,18902,2100,0,0,0,0,0,695428,0,0,0,0,0,0,0,0,6300,695428,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,2.566
kernel_1100_2100_801_330_626_85,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,22947058,23102,2100,1684999,0,0,0,0,695428,0,0,0,0,0,0,0,0,1693399,695428,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.024
kernel_1100_2100_801_330_626_86,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17009632,23102,2100,0,0,0,0,695428,695428,0,0,0,0,0,0,0,0,703828,695428,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,3.374
kernel_1100_2100_801_330_626_87,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,27125926,27302,2100,1684999,0,0,0,695428,695428,0,0,0,0,0,0,0,0,2390927,695428,0,0,0,0,0,0,1317324,0,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,4.787
kernel_1100_2100_801_330_626_88,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,17671462,18902,2100,0,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,6300,2380427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691300,0,0,0,0,0,0,0,2.839
kernel_1100_2100_801_330_626_89,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,27787756,23102,2100,1684999,1684999,0,0,0,695428,0,0,0,0,0,0,0,0,1693399,2380427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,4.775
kernel_1100_2100_801_330_626_90,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,21850330,23102,2100,0,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,703828,2380427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693400,0,0,0,0,0,0,0,3.308
kernel_1100_2100_801_330_626_91,x86_64,Intel,144,2094,32,256,46080,3023.79,12,1100,6301,31966624,27302,2100,1684999,1684999,0,0,695428,695428,0,0,0,0,0,0,0,0,2390927,2380427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695500,0,0,0,0,0,0,0,4.639
